date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:48	107/107	---M-Z	200	added ('OK')	text/plain	etag:%22cb17425390caa301e4b547d28d99e0ff%22	https://shawaiz.framer.ai/robots.txt		(from )
20:29:48	457619/457619	---M-Z	200	added ('OK')	text/html	etag:%22aa621a23fb8cc9c19b90e166565dedcc%22	https://shawaiz.framer.ai/	C:/My%20Web%20Sites/website/shawaiz.framer.ai/index.html	(from )
20:29:48	7011/7011	---MC-	200	added ('OK')	image/png	etag:%22c27f8a7cb24bda1cbf272e5a7681ac7f%22	https://framerusercontent.com/images/eVTjd4i7OQQ9C0ht13t6fN1Euo.png	C:/My%20Web%20Sites/website/framerusercontent.com/images/eVTjd4i7OQQ9C0ht13t6fN1Euo.png	(from https://shawaiz.framer.ai/)
20:29:48	71119/71119	---MC-	200	added ('OK')	image/png	etag:%22fe4bc9bd0d8837b390b583b4b1647bc1%22	https://framerusercontent.com/images/Drwr8lzIb44BzOEn0nNlsSJ4AWk.png	C:/My%20Web%20Sites/website/framerusercontent.com/images/Drwr8lzIb44BzOEn0nNlsSJ4AWk.png	(from https://shawaiz.framer.ai/)
20:29:50	275415/275415	---M-Z	200	added ('OK')	text/html	etag:%22e041c8251f253ef18684c135edef6260%22	https://shawaiz.framer.ai/projects	C:/My%20Web%20Sites/website/shawaiz.framer.ai/projects.html	(from https://shawaiz.framer.ai/)
20:29:54	265167/265167	---M-Z	200	added ('OK')	text/html	etag:%2203375e171a8cb0838e4e74a867f01de3%22	https://shawaiz.framer.ai/experience	C:/My%20Web%20Sites/website/shawaiz.framer.ai/experience.html	(from https://shawaiz.framer.ai/)
20:29:55	263856/263856	---M-Z	200	added ('OK')	text/html	etag:%226d049e8890ec587f151a395ead3d59d3%22	https://shawaiz.framer.ai/tools	C:/My%20Web%20Sites/website/shawaiz.framer.ai/tools.html	(from https://shawaiz.framer.ai/)
20:29:56	285517/285517	---M-Z	200	added ('OK')	text/html	etag:%22b9674da5f083b505a7911a07e005fea1%22	https://shawaiz.framer.ai/blog	C:/My%20Web%20Sites/website/shawaiz.framer.ai/blog.html	(from https://shawaiz.framer.ai/)
20:29:56	51500/51500	---MC-	200	added ('OK')	image/jpeg	etag:%2284914fbea990fb9da38ed3eee702f22f%22	https://framerusercontent.com/images/w2hyXovpoCcfHZkjR4Hmr53RA5o.jpg?scale-down-to=1024	C:/My%20Web%20Sites/website/framerusercontent.com/images/w2hyXovpoCcfHZkjR4Hmr53RA5obf23.jpg	(from https://shawaiz.framer.ai/)
20:29:57	52144/52144	---MC-	200	added ('OK')	image/jpeg	etag:%22b1ec56d17337d9cf0cec310818a95975%22	https://framerusercontent.com/images/HZVty7h6pOWqz9MgOrGioC5dEM.jpg	C:/My%20Web%20Sites/website/framerusercontent.com/images/HZVty7h6pOWqz9MgOrGioC5dEM.jpg	(from https://shawaiz.framer.ai/)
